date,time,world,atlas_mode,mode,symbol,tf,side,score,state_at_entry,trade_id,parent_trade_id,leg_id,is_partial,partial_percent,lot,lot_raw,lot_capped,lot_cap_reason,lot_error,risk_percent,entry_price,tp1_price,tp2_price,sl_price,exit_price,entry,sl,tp,exit,close_price,exit_reason,result,raw_result,asset_type,price_move,pip_move,point_move,pips,usd_result,usd,opened_at,signal_ts,entry_ts,closed_at,closed_ts,duration_sec
2026-03-11,16:57:37,,,,USDCHFz,M1,BUY,,,,,,,,,,,,,,0.77986,,0.7802199999999999,0.77974,0.77974,0.77986,0.77974,0.7802199999999999,0.77974,0.77974,SL,SL,SL,,,,,-12.0,-12.0,-12.0,,,,,,
2026-03-11,17:16:05,,,,BTCUSDz,M1,SELL,,,,,,,,,,,,,,70678.71,,70222.19400000002,70809.0,70809.0,70678.71,70809.0,70222.19400000002,70809.0,70809.0,SL,SL,SL,,,,,-13029000.0,-13029000.0,-13029000.0,,,,,,
2026-03-11,17:16:07,,,,XAUUSDz,M1,SELL,,,,,,,,,,,,,,5174.022,,5165.994000000001,5178.007,5178.007,5174.022,5178.007,5165.994000000001,5178.007,5178.007,SL,SL,SL,,,,,-398.5,-398.5,-398.5,,,,,,
2026-03-11,17:16:17,,,,USTECz,M1,SELL,,,,,,,,,,,,,,24983.93,,24935.462,25003.07,25003.07,24983.93,25003.07,24935.462,25003.07,25003.07,SL,SL,SL,,,,,-19.14,-19.14,-19.14,,,,,,
2026-03-11,17:16:42,,,,EURJPYz,M1,BUY,,,,,,,,,,,,,,183.785,,183.8354,183.7874,183.8354,183.785,183.7874,183.8354,183.8354,183.8354,TP2_FINAL,TP2_FINAL,TP2,,,,,50.4,50.4,50.4,,,,,,
2026-03-11,17:16:45,,,,EURJPYz,M1,SELL,,,,,,,,,,,,,,183.859,,183.7774,183.872,183.872,183.859,183.872,183.7774,183.872,183.872,SL,SL,SL,,,,,-13.0,-13.0,-13.0,,,,,,
2026-03-11,17:16:47,,,,EURJPYz,M1,SELL,,,,,,,,,,,,,,183.858,,183.7764,183.872,183.872,183.858,183.872,183.7764,183.872,183.872,SL,SL,SL,,,,,-14.0,-14.0,-14.0,,,,,,
2026-03-11,17:17:03,,,,USDCADz,M1,SELL,,,,,,,,,,,,,,1.35927,,1.3587420000000003,1.359244,1.3587420000000003,1.35927,1.359244,1.3587420000000003,1.3587420000000003,1.3587420000000003,TP2_FINAL,TP2_FINAL,TP2,,,,,52.8,52.8,52.8,,,,,,
2026-03-11,17:17:06,,,,EURAUDz,M1,SELL,,,,,,,,,,,,,,1.61761,,1.6163139999999998,1.61799,1.61799,1.61761,1.61799,1.6163139999999998,1.61799,1.61799,SL,SL,SL,,,,,-38.0,-38.0,-38.0,,,,,,
2026-03-11,17:18:02,,,,EURUSDz,M1,BUY,,,,,,,,,,,,,,1.157,,1.1574559999999998,1.15702,1.1574559999999998,1.157,1.15702,1.1574559999999998,1.1574559999999998,1.1574559999999998,TP2_FINAL,TP2_FINAL,TP2,,,,,45.6,45.6,45.6,,,,,,
2026-03-11,17:18:02,,,,USOILz,M1,BUY,,,,,,,,,,,,,,86.166,,86.97719999999998,85.811,85.811,86.166,85.811,86.97719999999998,85.811,85.811,SL,SL,SL,,,,,-35.5,-35.5,-35.5,,,,,,
2026-03-11,17:19:45,,,,EURJPYz,M1,SELL,,,,,,,,,,,,,,183.851,,183.79819999999998,183.876,183.876,183.851,183.876,183.79819999999998,183.876,183.876,SL,SL,SL,,,,,-25.0,-25.0,-25.0,,,,,,
2026-03-11,17:20:48,,,,USDCADz,M1,SELL,,,,,,,,,,,,,,1.35827,,1.357682,1.3582580000000002,1.3582580000000002,1.35827,1.3582580000000002,1.357682,1.3582580000000002,1.3582580000000002,SL,SL,SL,,,,,1.2,1.2,1.2,,,,,,
2026-03-11,17:27:48,,,,XAUUSDz,M1,BUY,,,,,,,,,,,,,,5172.715,,5182.579,5169.997,5169.997,5172.715,5169.997,5182.579,5169.997,5169.997,SL,SL,SL,,,,,-271.8,-271.8,-271.8,,,,,,
2026-03-11,17:27:57,,,,XAUUSDz,M1,BUY,,,,,,,,,,,,,,5172.893,,5183.022199999999,5169.776,5169.776,5172.893,5169.776,5183.022199999999,5169.776,5169.776,SL,SL,SL,,,,,-311.7,-311.7,-311.7,,,,,,
2026-03-11,17:32:31,,,,BTCUSDz,M1,SELL,,,,,,,,,,,,,,71261.73,,70727.14199999999,71254.08899999999,71254.08899999999,71261.73,71254.08899999999,70727.14199999999,71254.08899999999,71254.08899999999,SL,SL,SL,,,,,764100.0,764100.0,764100.0,,,,,,
2026-03-11,17:32:43,,,,EURCADz,M1,BUY,,,,,,,,,,,,,,1.57127,,1.5721939999999999,1.571292,1.571292,1.57127,1.571292,1.5721939999999999,1.571292,1.571292,SL,SL,SL,,,,,2.2,2.2,2.2,,,,,,
2026-03-11,17:33:49,,,,GBPNZDz,M1,SELL,,,,,,,,,,,,,,2.2671799999999998,,2.266364,2.26741,2.26741,2.2671799999999998,2.26741,2.266364,2.26741,2.26741,SL,SL,SL,,,,,-23.0,-23.0,-23.0,,,,,,
2026-03-11,17:39:10,,,,AUDUSDz,M1,SELL,,,,,,,,,,,,,,0.71535,,0.7144980000000001,0.715319,0.7144980000000001,0.71535,0.715319,0.7144980000000001,0.7144980000000001,0.7144980000000001,TP2_FINAL,TP2_FINAL,TP2,,,,,85.2,85.2,85.2,,,,,,
2026-03-11,18:24:33,,,,EURCADz,M1,SELL,,,,,,,,,,,,,,1.57198,,1.571332,1.571969,1.571656,1.57198,1.571969,1.571332,1.571656,1.571656,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,32.4,32.4,32.4,,,,,,
2026-03-11,18:34:54,,,,XAUUSDz,M1,SELL,,,,,,,,,,,,,,5177.561,,5173.391,5177.4785999999995,5175.476,5177.561,5177.4785999999995,5173.391,5175.476,5175.476,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,208.5,208.5,208.5,,,,,,
2026-03-11,18:47:10,,,,XAUUSDz,M1,SELL,,,,,,,,,,,,,,5177.554,,5175.018400000001,5177.4712,5176.2862000000005,5177.554,5177.4712,5175.018400000001,5176.2862000000005,5176.2862000000005,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,126.78,126.78,126.78,,,,,,
2026-03-11,18:54:19,,,,USOILz,M1,SELL,,,,,,,,,,,,,,86.641,,86.1298,86.6182,86.3854,86.641,86.6182,86.1298,86.3854,86.3854,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,25.56,25.56,25.56,,,,,,
2026-03-11,21:56:17,,,,USDJPYz,M1,SELL,,,,,,,,,,,,,,158.934,,158.89079999999998,158.9313,158.9124,158.934,158.9313,158.89079999999998,158.9124,158.9124,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,21.6,21.6,21.6,,,,,,
2026-03-12,01:58:09,,,,USTECz,M1,SELL,,,,,,,,,,,,,,24942.85,,24915.765999999996,24941.177,24929.307999999997,24942.85,24941.177,24915.765999999996,24929.307999999997,24929.307999999997,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,13.54,13.54,13.54,,,,,,
2026-03-12,02:07:20,,,,NZDUSDz,M1,BUY,,,,,,,,,,,,,,0.59075,,0.591482,0.590765,0.591116,0.59075,0.590765,0.591482,0.591116,0.591116,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,36.6,36.6,36.6,,,,,,
2026-03-12,02:07:25,,,,EURJPYz,M1,SELL,,,,,,,,,,,,,,183.529,,183.4558,183.5279,183.4924,183.529,183.5279,183.4558,183.4924,183.4924,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,36.6,36.6,36.6,,,,,,
2026-03-12,02:54:58,,,,EURAUDz,M1,BUY,,,,,,,,,,,,,,1.61463,,1.616286,1.614647,1.6154579999999998,1.61463,1.614647,1.616286,1.6154579999999998,1.6154579999999998,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,82.8,82.8,82.8,,,,,,
2026-03-12,02:54:58,,,,USDCHFz,M1,BUY,,,,,,,,,,,,,,0.78108,,0.7814399999999999,0.781093,0.78126,0.78108,0.781093,0.7814399999999999,0.78126,0.78126,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,18.0,18.0,18.0,,,,,,
2026-03-12,03:00:01,,,,USDCADz,M1,BUY,,,,,,,,,,,,,,1.35877,,1.359406,1.3587770000000001,1.3590879999999999,1.35877,1.3587770000000001,1.359406,1.3590879999999999,1.3590879999999999,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,31.8,31.8,31.8,,,,,,
2026-03-12,14:02:10,,,,XAUUSDz,M1,BUY,,,,,,,,,,,,,,5151.974,,5186.6798,5152.561900000001,5164.12103,5151.974,5152.561900000001,5186.6798,5164.12103,5164.12103,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,1214.7,1214.7,1214.7,,,,,,
2026-03-12,14:03:32,,,,USOILz,M1,SELL,,,,,,,,,,,,,,93.406,,91.14340000000003,93.37440000000001,92.61409000000002,93.406,93.37440000000001,91.14340000000003,92.61409000000002,92.61409000000002,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,79.19,79.19,79.19,,,,,,
2026-03-12,17:10:18,,,,BTCUSDz,M1,BUY,,,,,,,,,,,,,,70389.88,,70770.79600000002,70393.07800000001,70523.20060000001,70389.88,70393.07800000001,70770.79600000002,70523.20060000001,70523.20060000001,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,133.32,1.33,1.33,,,,,,
2026-03-12,17:31:20,,,,EURGBPz,M1,SELL,,,,,,,,,,,,,,0.86306,,0.8623580000000001,0.8630420000000001,0.8628143,0.86306,0.8630420000000001,0.8623580000000001,0.8628143,0.8628143,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,2.46,136.36,136.36,,,,,,
2026-03-12,17:38:47,,,,XAUUSDz,M1,SELL,,,,,,,,,,,,,,5118.311,,5095.7408000000005,5117.5425,5110.41143,5118.311,5117.5425,5095.7408000000005,5110.41143,5110.41143,TP1_PARTIAL,TP1_PARTIAL,TP1,,,,,7.9,47.4,47.4,,,,,,
2026-03-12,18:33:54,,,,USDCADz,M1,SELL,,,,,,,,,,,,,,8.0,,1.362348,1.36238,1.3614979999999997,8.0,1.36238,1.362348,1.3614979999999997,1.3614979999999997,INVALIDATION_CLOSE,INVALIDATION_CLOSE,1.3620712999999998,,,,,TP1,3.09,3.09,,,,,,
2026-03-12,18:36:34,,,,USDCADz,M1,SELL,,,,,,,,,,,,,,8.0,,1.362348,1.36238,1.3614979999999997,8.0,1.36238,1.362348,1.3614979999999997,1.3614979999999997,INVALIDATION_CLOSE,INVALIDATION_CLOSE,1.362348,,,,,TP1_CLOSE,0.32,0.32,,,,,,
2026-03-12,18:37:44,,,,EURUSDz,M1,SELL,,,,,,,,,,,,,,8.0,,1.151716,1.15176,1.1507879999999995,8.0,1.15176,1.151716,1.1507879999999995,1.1507879999999995,INVALIDATION_CLOSE,INVALIDATION_CLOSE,1.1514197999999998,,,,,TP1,3.4,3.4,,,,,,
2026-03-12,18:37:44,,,,EURGBPz,M1,BUY,,,,,,,,,,,,,,7.0,,0.86248,0.86277,0.8633279999999999,7.0,0.86277,0.86248,0.8633279999999999,0.8633279999999999,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.86248,,,,,SL,-2.9,-2.9,,,,,,
2026-03-12,18:37:54,,,,USDCHFz,M1,BUY,,,,,,,,,,,,,,8.0,,0.784983,0.78494,0.7858039999999998,8.0,0.78494,0.784983,0.7858039999999998,0.7858039999999998,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.7852423999999999,,,,,TP1,3.02,3.02,,,,,,
2026-03-12,18:38:41,,,,AUDUSDz,M1,SELL,,,,,,,,,,,,,,8.0,,0.708232,0.70828,0.7069300000000002,8.0,0.70828,0.708232,0.7069300000000002,0.7069300000000002,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.7078075,,,,,TP1,4.72,4.72,,,,,,
2026-03-12,18:46:05,,,,EURJPYz,M1,BUY,,,,,,,,,,,,,,9.0,,183.5078,183.506,183.6662,9.0,183.506,183.5078,183.6662,183.6662,INVALIDATION_CLOSE,INVALIDATION_CLOSE,183.56207,,,,,TP1,5.61,5.61,,,,,,
2026-03-12,18:52:08,,,,USDJPYz,M1,SELL,,,,,,,,,,,,,,9.0,,159.39440000000002,159.395,159.341,9.0,159.395,159.39440000000002,159.341,159.341,INVALIDATION_CLOSE,INVALIDATION_CLOSE,159.3761,,,,,TP1,1.89,1.89,,,,,,
2026-03-12,18:52:08,,,,AUDUSDz,M1,BUY,,,,,,,,,,,,,,9.0,,0.7078979999999999,0.70788,0.708924,9.0,0.70788,0.7078979999999999,0.708924,0.708924,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.7082454,,,,,TP1,3.65,3.65,,,,,,
2026-03-12,18:52:08,,,,GBPNZDz,M1,SELL,,,,,,,,,,,,,,8.0,,2.279481,2.27954,2.2778300000000007,8.0,2.27954,2.279481,2.2778300000000007,2.2778300000000007,INVALIDATION_CLOSE,INVALIDATION_CLOSE,2.2789415,,,,,TP1,5.98,5.98,,,,,,
2026-03-12,18:52:08,,,,USOILz,M1,SELL,,,,,,,,,,,,,,9.0,,95.141,94.924,93.34179999999999,9.0,94.924,95.141,93.34179999999999,93.34179999999999,INVALIDATION_CLOSE,INVALIDATION_CLOSE,95.141,,,,,SL,-0.22,-0.22,,,,,,
2026-03-12,18:55:32,,,,EURGBPz,M1,BUY,,,,,,,,,,,,,,9.0,,0.862669,0.86265,0.863406,9.0,0.86265,0.862669,0.863406,0.863406,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.8629146,,,,,TP1,2.65,2.65,,,,,,
2026-03-12,18:56:02,,,,EURAUDz,M1,BUY,,,,,,,,,,,,,,8.0,,1.62599,1.6265399999999999,1.6277639999999995,8.0,1.6265399999999999,1.62599,1.6277639999999995,1.6277639999999995,INVALIDATION_CLOSE,INVALIDATION_CLOSE,1.62599,,,,,SL,-5.5,-5.5,,,,,,
2026-03-12,18:56:13,,,,USDJPYz,M1,SELL,,,,,,,,,,,,,,9.0,,159.39440000000002,159.395,159.341,9.0,159.395,159.39440000000002,159.341,159.341,INVALIDATION_CLOSE,INVALIDATION_CLOSE,159.39440000000002,,,,,TP1_CLOSE,0.06,0.06,,,,,,
2026-03-12,18:58:05,,,,USOILz,M1,SELL,,,,,,,,,,,,,,9.0,,95.31,94.968,93.93659999999998,9.0,94.968,95.31,93.93659999999998,93.93659999999998,INVALIDATION_CLOSE,INVALIDATION_CLOSE,95.31,,,,,SL,-0.34,-0.34,,,,,,
2026-03-12,19:02:02,,,,USDCHFz,M1,SELL,,,,,,,,,,,,,,9.0,,0.78548,0.7853,0.7843100000000001,9.0,0.7853,0.78548,0.7843100000000001,0.7843100000000001,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.78548,,,,,SL,-1.8,-1.8,,,,,,
2026-03-12,19:02:02,,,,NZDUSDz,M1,BUY,,,,,,,,,,,,,,9.0,,0.58534,0.5855,0.5861480000000001,9.0,0.5855,0.58534,0.5861480000000001,0.5861480000000001,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.58534,,,,,SL,-1.6,-1.6,,,,,,
2026-03-12,19:02:06,,,,XAUUSDz,M1,SELL,,,,,,,,,,,,,,8.0,,5097.2606,5098.048,5079.491800000001,8.0,5098.048,5097.2606,5079.491800000001,5079.491800000001,INVALIDATION_CLOSE,INVALIDATION_CLOSE,5091.55333,,,,,TP1,6.49,6.49,,,,,,
2026-03-12,19:02:16,,,,GBPUSDz,M1,SELL,,,,,,,,,,,,,,9.0,,1.334558,1.3346,1.3332139999999997,9.0,1.3346,1.334558,1.3332139999999997,1.3332139999999997,INVALIDATION_CLOSE,INVALIDATION_CLOSE,1.3341148999999999,,,,,TP1,4.85,4.85,,,,,,
2026-03-12,19:02:30,,,,AUDUSDz,M1,BUY,,,,,,,,,,,,,,9.0,,0.7078979999999999,0.70788,0.708924,9.0,0.70788,0.7078979999999999,0.708924,0.708924,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.7078979999999999,,,,,TP1_CLOSE,0.18,0.18,,,,,,
2026-03-12,19:02:35,,,,EURUSDz,M1,BUY,,,,,,,,,,,,,,9.0,,1.15113,1.15138,1.1525680000000003,9.0,1.15138,1.15113,1.1525680000000003,1.1525680000000003,INVALIDATION_CLOSE,INVALIDATION_CLOSE,1.15113,,,,,SL,-2.5,-2.5,,,,,,
2026-03-12,19:03:17,,,,USDJPYz,M1,BUY,,,,,,,,,,,,,,8.0,,159.3988,159.396,159.45540000000003,8.0,159.396,159.3988,159.45540000000003,159.45540000000003,INVALIDATION_CLOSE,INVALIDATION_CLOSE,159.41679,,,,,TP1,2.08,2.08,,,,,,
2026-03-12,19:12:07,,,,BTCUSDz,M1,BUY,,,,,,,,,,,,,,8.0,,69786.57,69929.58,70252.302,8.0,69929.58,69786.57,70252.302,70252.302,INVALIDATION_CLOSE,INVALIDATION_CLOSE,69786.57,,,,,SL,-143.01,-143.01,,,,,,
2026-03-12,19:12:07,,,,EURAUDz,M1,BUY,,,,,,,,,,,,,,9.0,,1.6260459999999999,1.62601,1.6277379999999997,9.0,1.62601,1.6260459999999999,1.6277379999999997,1.6277379999999997,INVALIDATION_CLOSE,INVALIDATION_CLOSE,1.6266147999999998,,,,,TP1,6.05,6.05,,,,,,
2026-03-12,19:32:21,,,,USDJPYz,M1,SELL,,,,,,,,,,,,,,8.5,,159.4145,159.416,159.34219999999996,8.5,159.416,159.4145,159.34219999999996,159.34219999999996,INVALIDATION_CLOSE,INVALIDATION_CLOSE,159.39016999999998,,,,,TP1,2.58,2.58,,,,,,
2026-03-12,19:32:33,,,,GBPNZDz,M1,BUY,,,,,,,,,,,,,,7.25,,2.27893,2.27906,2.2802659999999997,7.25,2.27906,2.27893,2.2802659999999997,2.2802659999999997,INVALIDATION_CLOSE,INVALIDATION_CLOSE,2.27893,,,,,SL,-1.3,-1.3,,,,,,
2026-03-12,19:33:25,,,,NZDUSDz,M1,BUY,,,,,,,,,,,,,,9.0,,0.585552,0.58553,0.586052,9.0,0.58553,0.585552,0.586052,0.586052,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.5857127,,,,,TP1,1.83,1.83,,,,,,
2026-03-12,19:33:25,,,,EURGBPz,M1,SELL,,,,,,,,,,,,,,6.25,,0.8629249999999999,0.86293,0.862786,6.25,0.86293,0.8629249999999999,0.862786,0.862786,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.8628796,,,,,TP1,0.5,0.5,,,,,,
2026-03-12,19:37:11,,,,USDCHFz,M1,SELL,,,,,,,,,,,,,,7.0,,0.7855759999999999,0.7856,0.78506,7.0,0.7856,0.7855759999999999,0.78506,0.78506,INVALIDATION_CLOSE,INVALIDATION_CLOSE,0.785411,,,,,TP1,1.89,1.89,,,,,,
2026-03-12,19:37:11,,,,USOILz,M1,BUY,,,,,,,,,,,,,,10.0,,94.737,95.088,96.6108,10.0,95.088,94.737,96.6108,96.6108,INVALIDATION_CLOSE,INVALIDATION_CLOSE,94.737,,,,,SL,-0.35,-0.35,,,,,,
