trade_id,world,atlas_mode,mode,symbol,tf,side,entry_price,sl_price,tp1_price,tp2_price,lot_total,risk_percent,pnl_total_usd,pnl_total_points,opened_at,closed_at,duration_sec,legs_count,exit_final_reason,score_max,score_avg,had_partial,had_be_close,had_tp2
3164a431-d513-4ab6-8c8d-a4ba19e35d84,ATLAS_IA,SCALPING_M5,SCALPING_M5,USDCADz,M5,SELL,1.36774,1.36844,1.3651704,1.361316,1.42,1.0,-99.4,-7.0,2026-03-13T12:31:34Z,2026-03-13T12:31:34Z,0,1,SL,,,,,
890f3433-ec8a-41de-b63a-74814892ca17,ATLAS_IA,SCALPING_M5,SCALPING_M5,USDCADz,M5,SELL,1.36801,1.36844,1.3654404,1.361586,2.32,1.0,-99.76,-4.3,2026-03-13T12:31:48Z,2026-03-13T12:31:48Z,0,1,SL,,,,,
7e4385d0-48b8-4030-a71f-78c9fc4eff84,ATLAS_IA,SCALPING_M1,SCALPING_M1,EURGBPz,M1,BUY,0.86494,0.86452,0.8652865000000001,0.8659300000000001,1.19,0.5,-49.98,-4.2,2026-03-13T12:56:59Z,2026-03-13T15:52:53Z,10554,1,SL,8.0,8.0,False,False,False
d68b4dbc-526a-4494-b22d-65201e8585a1,ATLAS_IA,SCALPING_M1,SCALPING_M1,GBPUSDz,M1,BUY,1.32712,1.32663,1.3283422,1.3306120000000001,3.06,1.5,-149.94,-4.9,2026-03-13T12:53:56Z,2026-03-13T15:52:54Z,10738,1,SL,11.0,11.0,False,False,False
e0f50e4e-51bd-43d5-84f6-362abd4a01c2,ATLAS_IA,SCALPING_M1,SCALPING_M1,NZDUSDz,M1,SELL,0.58332,0.58393,0.5826774,0.5814840000000001,2.45,1.5,157.44,6.43,2026-03-13T12:54:06Z,2026-03-13T15:52:54Z,10728,1,TP1_PARTIAL,11.0,11.0,True,False,False
0e6c93ea-7b8e-4a1e-8658-27bca908fea9,ATLAS_IA,SCALPING_M1,SCALPING_M1,USDCHFz,M1,BUY,0.78696,0.78618,0.7876215,0.7888499999999999,1.28,1.0,326.59,25.51,2026-03-13T12:54:39Z,2026-03-13T15:53:29Z,10730,2,TP2_FINAL,9.5,9.5,True,False,True
4a1cb163-6bb2-482b-988f-f611fca4a409,ATLAS_IA,SCALPING_M1,SCALPING_M1,USOILz,M1,BUY,92.557,91.255,93.93544,96.4954,0.1,1.5,13.78,1.37844,2026-03-13T12:54:14Z,2026-03-13T15:53:30Z,10756,1,TP1_PARTIAL,11.0,11.0,True,False,False
362a0175-7266-4014-932d-6c3bc2d9f2f0,ATLAS_IA,SCALPING_M1,SCALPING_M1,USDJPYz,M1,BUY,159.315,159.207,159.41643,159.6048,1.02,1.0,93.11,10.14,2026-03-13T12:54:49Z,2026-03-13T15:53:30Z,10721,1,TP1_PARTIAL,10.0,10.0,True,False,False
0989aaa1-abaa-45fa-8fc2-3cbbbfc64afa,ATLAS_IA,SCALPING_M1,SCALPING_M1,USDCADz,M1,BUY,1.36969,1.36894,1.3704649,1.3719039999999998,1.33,1.0,397.52,29.89,2026-03-13T12:55:29Z,2026-03-13T15:53:41Z,10692,2,TP2_FINAL,9.25,9.25,True,False,True
9cda949a-9522-45d2-9704-f273f0ff9a52,ATLAS_IA,SCALPING_M1,SCALPING_M1,AUDUSDz,M1,SELL,0.70528,0.70627,0.7043602000000001,0.7026520000000002,1.01,1.0,358.33,35.48,2026-03-13T12:54:06Z,2026-03-13T15:54:03Z,10797,2,TP2_FINAL,10.0,10.0,True,False,True
3f51963b-8a74-4748-8b7d-0bb5824de126,ATLAS_IA,SCALPING_M1,SCALPING_M1,EURJPYz,M1,SELL,182.886,182.916,182.79906,182.6376,1.85,0.5,558.35,33.53,2026-03-13T12:54:06Z,2026-03-13T15:54:15Z,10809,2,TP2_FINAL,8.5,8.5,True,False,True
70128605-2384-4833-8841-28c5cae57238,ATLAS_IA,SCALPING_M1,SCALPING_M1,USTECz,M1,SELL,24669.1,24735.51,24606.0307,24488.902000000006,0.1,1.0,24.33,243.2673,2026-03-13T12:54:06Z,2026-03-13T15:54:47Z,10841,2,TP2_FINAL,10.0,10.0,True,False,True
a83588fc-307f-4b23-a673-41a6cc8e46b8,ATLAS_IA,SCALPING_M1,SCALPING_M1,XAUUSDz,M1,SELL,5118.803,5122.022,5110.047259999999,5093.786599999999,0.31,1.0,1046.94,33.77214,2026-03-13T12:55:09Z,2026-03-13T15:57:01Z,10912,2,TP2_FINAL,10.25,10.25,True,False,True
8e9a7ae3-3524-4bc5-b1ac-a4a5953bbd48,ATLAS_IA,SCALPING_M1,SCALPING_M1,EURCADz,M1,SELL,1.57254,1.57322,1.5706626000000001,1.5671760000000001,1.47,1.0,275.98,18.77,2026-03-13T12:54:14Z,2026-03-13T15:58:08Z,11034,1,TP1_PARTIAL,10.25,10.25,True,False,False
319b73d1-e3b5-47f3-ab91-5f47cf25c3d9,ATLAS_IA,SCALPING_M1,SCALPING_M1,EURJPYz,M1,SELL,182.529,182.604,182.45087999999998,182.30579999999995,1.48,1.0,-99.9,-7.5,2026-03-13T15:54:47Z,2026-03-13T15:59:49Z,302,1,SL,10.0,10.0,False,False,False
b201bf15-0ed5-4700-8324-33f790799dfb,ATLAS_IA,SCALPING_M1,SCALPING_M1,AUDUSDz,M1,BUY,0.70067,0.70013,0.7022198000000001,0.705098,1.85,1.0,-99.9,-5.4,2026-03-13T16:04:11Z,2026-03-13T16:14:21Z,610,1,SL,10.25,10.25,False,False,False
