ts,symbol,tf,side,entry,sl,tp,exit,result,pips,usd
2026-03-11T16:57:37Z,USDCHFz,M1,BUY,0.77986,0.77974,0.7802199999999999,0.77974,SL,-12.0,-12.0
2026-03-11T17:16:05Z,BTCUSDz,M1,SELL,70678.71,70809.0,70222.19400000002,70809.0,SL,-13029000.0,-13029000.0
2026-03-11T17:16:07Z,XAUUSDz,M1,SELL,5174.022,5178.007,5165.994000000001,5178.007,SL,-398.5,-398.5
2026-03-11T17:16:17Z,USTECz,M1,SELL,24983.93,25003.07,24935.462,25003.07,SL,-19.14,-19.14
2026-03-11T17:16:42Z,EURJPYz,M1,BUY,183.785,183.7874,183.8354,183.8354,TP2,50.4,50.4
2026-03-11T17:16:45Z,EURJPYz,M1,SELL,183.859,183.872,183.7774,183.872,SL,-13.0,-13.0
2026-03-11T17:16:47Z,EURJPYz,M1,SELL,183.858,183.872,183.7764,183.872,SL,-14.0,-14.0
2026-03-11T17:17:03Z,USDCADz,M1,SELL,1.35927,1.359244,1.3587420000000003,1.3587420000000003,TP2,52.8,52.8
2026-03-11T17:17:06Z,EURAUDz,M1,SELL,1.61761,1.61799,1.6163139999999998,1.61799,SL,-38.0,-38.0
2026-03-11T17:18:02Z,EURUSDz,M1,BUY,1.157,1.15702,1.1574559999999998,1.1574559999999998,TP2,45.6,45.6
2026-03-11T17:18:02Z,USOILz,M1,BUY,86.166,85.811,86.97719999999998,85.811,SL,-35.5,-35.5
2026-03-11T17:19:45Z,EURJPYz,M1,SELL,183.851,183.876,183.79819999999998,183.876,SL,-25.0,-25.0
2026-03-11T17:20:48Z,USDCADz,M1,SELL,1.35827,1.3582580000000002,1.357682,1.3582580000000002,SL,1.2,1.2
2026-03-11T17:27:48Z,XAUUSDz,M1,BUY,5172.715,5169.997,5182.579,5169.997,SL,-271.8,-271.8
2026-03-11T17:27:57Z,XAUUSDz,M1,BUY,5172.893,5169.776,5183.022199999999,5169.776,SL,-311.7,-311.7
2026-03-11T17:32:31Z,BTCUSDz,M1,SELL,71261.73,71254.08899999999,70727.14199999999,71254.08899999999,SL,764100.0,764100.0
2026-03-11T17:32:43Z,EURCADz,M1,BUY,1.57127,1.571292,1.5721939999999999,1.571292,SL,2.2,2.2
2026-03-11T17:33:49Z,GBPNZDz,M1,SELL,2.2671799999999998,2.26741,2.266364,2.26741,SL,-23.0,-23.0
2026-03-11T17:39:10Z,AUDUSDz,M1,SELL,0.71535,0.715319,0.7144980000000001,0.7144980000000001,TP2,85.2,85.2
2026-03-11T18:24:33Z,EURCADz,M1,SELL,1.57198,1.571969,1.571332,1.571656,TP1,32.4,32.4
2026-03-11T18:34:54Z,XAUUSDz,M1,SELL,5177.561,5177.4785999999995,5173.391,5175.476,TP1,208.5,208.5
2026-03-11T18:47:10Z,XAUUSDz,M1,SELL,5177.554,5177.4712,5175.018400000001,5176.2862000000005,TP1,126.78,126.78
2026-03-11T18:54:19Z,USOILz,M1,SELL,86.641,86.6182,86.1298,86.3854,TP1,25.56,25.56
2026-03-11T21:56:17Z,USDJPYz,M1,SELL,158.934,158.9313,158.89079999999998,158.9124,TP1,21.6,21.6
2026-03-12T01:58:09Z,USTECz,M1,SELL,24942.85,24941.177,24915.765999999996,24929.307999999997,TP1,13.54,13.54
2026-03-12T02:07:20Z,NZDUSDz,M1,BUY,0.59075,0.590765,0.591482,0.591116,TP1,36.6,36.6
2026-03-12T02:07:25Z,EURJPYz,M1,SELL,183.529,183.5279,183.4558,183.4924,TP1,36.6,36.6
2026-03-12T02:54:58Z,USDCHFz,M1,BUY,0.78108,0.781093,0.7814399999999999,0.78126,TP1,18.0,18.0
2026-03-12T02:54:58Z,EURAUDz,M1,BUY,1.61463,1.614647,1.616286,1.6154579999999998,TP1,82.8,82.8
2026-03-12T03:00:01Z,USDCADz,M1,BUY,1.35877,1.3587770000000001,1.359406,1.3590879999999999,TP1,31.8,31.8
2026-03-12T14:02:10Z,XAUUSDz,M1,BUY,5151.974,5152.561900000001,5186.6798,5164.12103,TP1,1214.7,1214.7
2026-03-12T14:03:32Z,USOILz,M1,SELL,93.406,93.37440000000001,91.14340000000003,92.61409000000002,TP1,79.19,79.19
